      Absolute Path                 Relative Path      Class
D:\PYTHON_cem3\modified_dataset\brown bear_0055.jpg    brown bear_0055.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0056.jpg    brown bear_0056.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0057.jpg    brown bear_0057.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0058.jpg    brown bear_0058.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0059.jpg    brown bear_0059.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0060.jpg    brown bear_0060.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0061.jpg    brown bear_0061.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0062.jpg    brown bear_0062.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0063.jpg    brown bear_0063.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0064.jpg    brown bear_0064.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0065.jpg    brown bear_0065.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0066.jpg    brown bear_0066.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0067.jpg    brown bear_0067.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0068.jpg    brown bear_0068.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0069.jpg    brown bear_0069.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0070.jpg    brown bear_0070.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0071.jpg    brown bear_0071.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0072.jpg    brown bear_0072.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0073.jpg    brown bear_0073.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0074.jpg    brown bear_0074.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0075.jpg    brown bear_0075.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0076.jpg    brown bear_0076.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0077.jpg    brown bear_0077.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0078.jpg    brown bear_0078.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0079.jpg    brown bear_0079.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0080.jpg    brown bear_0080.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0081.jpg    brown bear_0081.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0082.jpg    brown bear_0082.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0083.jpg    brown bear_0083.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0084.jpg    brown bear_0084.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0085.jpg    brown bear_0085.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0086.jpg    brown bear_0086.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0087.jpg    brown bear_0087.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0088.jpg    brown bear_0088.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0089.jpg    brown bear_0089.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0090.jpg    brown bear_0090.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0091.jpg    brown bear_0091.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0092.jpg    brown bear_0092.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0093.jpg    brown bear_0093.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0094.jpg    brown bear_0094.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0095.jpg    brown bear_0095.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0096.jpg    brown bear_0096.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0097.jpg    brown bear_0097.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0098.jpg    brown bear_0098.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0099.jpg    brown bear_0099.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0100.jpg    brown bear_0100.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0101.jpg    brown bear_0101.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0102.jpg    brown bear_0102.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0103.jpg    brown bear_0103.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0104.jpg    brown bear_0104.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0105.jpg    brown bear_0105.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0106.jpg    brown bear_0106.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0107.jpg    brown bear_0107.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0108.jpg    brown bear_0108.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0109.jpg    brown bear_0109.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0110.jpg    brown bear_0110.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0111.jpg    brown bear_0111.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0112.jpg    brown bear_0112.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0113.jpg    brown bear_0113.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0114.jpg    brown bear_0114.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0115.jpg    brown bear_0115.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0116.jpg    brown bear_0116.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0117.jpg    brown bear_0117.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0118.jpg    brown bear_0118.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0119.jpg    brown bear_0119.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0120.jpg    brown bear_0120.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0121.jpg    brown bear_0121.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0122.jpg    brown bear_0122.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0123.jpg    brown bear_0123.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0124.jpg    brown bear_0124.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0125.jpg    brown bear_0125.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0126.jpg    brown bear_0126.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0127.jpg    brown bear_0127.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0128.jpg    brown bear_0128.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0129.jpg    brown bear_0129.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0130.jpg    brown bear_0130.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0131.jpg    brown bear_0131.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0132.jpg    brown bear_0132.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0133.jpg    brown bear_0133.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0134.jpg    brown bear_0134.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0135.jpg    brown bear_0135.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0136.jpg    brown bear_0136.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0137.jpg    brown bear_0137.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0138.jpg    brown bear_0138.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0139.jpg    brown bear_0139.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0140.jpg    brown bear_0140.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0141.jpg    brown bear_0141.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0142.jpg    brown bear_0142.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0143.jpg    brown bear_0143.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0144.jpg    brown bear_0144.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0145.jpg    brown bear_0145.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0146.jpg    brown bear_0146.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0147.jpg    brown bear_0147.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0148.jpg    brown bear_0148.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0149.jpg    brown bear_0149.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0150.jpg    brown bear_0150.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0151.jpg    brown bear_0151.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0152.jpg    brown bear_0152.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0153.jpg    brown bear_0153.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0154.jpg    brown bear_0154.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0155.jpg    brown bear_0155.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0156.jpg    brown bear_0156.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0157.jpg    brown bear_0157.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0158.jpg    brown bear_0158.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0159.jpg    brown bear_0159.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0160.jpg    brown bear_0160.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0161.jpg    brown bear_0161.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0162.jpg    brown bear_0162.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0163.jpg    brown bear_0163.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0164.jpg    brown bear_0164.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0165.jpg    brown bear_0165.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0166.jpg    brown bear_0166.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0167.jpg    brown bear_0167.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0168.jpg    brown bear_0168.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0169.jpg    brown bear_0169.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0170.jpg    brown bear_0170.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0171.jpg    brown bear_0171.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0172.jpg    brown bear_0172.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0173.jpg    brown bear_0173.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0174.jpg    brown bear_0174.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0175.jpg    brown bear_0175.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0176.jpg    brown bear_0176.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0177.jpg    brown bear_0177.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0178.jpg    brown bear_0178.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0179.jpg    brown bear_0179.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0180.jpg    brown bear_0180.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0181.jpg    brown bear_0181.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0182.jpg    brown bear_0182.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0183.jpg    brown bear_0183.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0184.jpg    brown bear_0184.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0185.jpg    brown bear_0185.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0186.jpg    brown bear_0186.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0187.jpg    brown bear_0187.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0188.jpg    brown bear_0188.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0189.jpg    brown bear_0189.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0190.jpg    brown bear_0190.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0191.jpg    brown bear_0191.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0192.jpg    brown bear_0192.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0193.jpg    brown bear_0193.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0194.jpg    brown bear_0194.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0195.jpg    brown bear_0195.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0196.jpg    brown bear_0196.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0197.jpg    brown bear_0197.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0198.jpg    brown bear_0198.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0199.jpg    brown bear_0199.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0200.jpg    brown bear_0200.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0201.jpg    brown bear_0201.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0202.jpg    brown bear_0202.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0203.jpg    brown bear_0203.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0204.jpg    brown bear_0204.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0205.jpg    brown bear_0205.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0206.jpg    brown bear_0206.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0207.jpg    brown bear_0207.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0208.jpg    brown bear_0208.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0209.jpg    brown bear_0209.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0210.jpg    brown bear_0210.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0211.jpg    brown bear_0211.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0212.jpg    brown bear_0212.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0213.jpg    brown bear_0213.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0214.jpg    brown bear_0214.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0215.jpg    brown bear_0215.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0216.jpg    brown bear_0216.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0217.jpg    brown bear_0217.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0218.jpg    brown bear_0218.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0219.jpg    brown bear_0219.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0220.jpg    brown bear_0220.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0221.jpg    brown bear_0221.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0222.jpg    brown bear_0222.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0223.jpg    brown bear_0223.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0224.jpg    brown bear_0224.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0225.jpg    brown bear_0225.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0226.jpg    brown bear_0226.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0227.jpg    brown bear_0227.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0228.jpg    brown bear_0228.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0229.jpg    brown bear_0229.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0230.jpg    brown bear_0230.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0231.jpg    brown bear_0231.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0232.jpg    brown bear_0232.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0233.jpg    brown bear_0233.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0234.jpg    brown bear_0234.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0235.jpg    brown bear_0235.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0236.jpg    brown bear_0236.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0237.jpg    brown bear_0237.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0238.jpg    brown bear_0238.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0239.jpg    brown bear_0239.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0240.jpg    brown bear_0240.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0241.jpg    brown bear_0241.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0242.jpg    brown bear_0242.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0243.jpg    brown bear_0243.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0244.jpg    brown bear_0244.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0245.jpg    brown bear_0245.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0246.jpg    brown bear_0246.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0247.jpg    brown bear_0247.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0248.jpg    brown bear_0248.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0249.jpg    brown bear_0249.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0250.jpg    brown bear_0250.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0251.jpg    brown bear_0251.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0252.jpg    brown bear_0252.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0253.jpg    brown bear_0253.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0254.jpg    brown bear_0254.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0255.jpg    brown bear_0255.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0256.jpg    brown bear_0256.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0257.jpg    brown bear_0257.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0258.jpg    brown bear_0258.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0259.jpg    brown bear_0259.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0260.jpg    brown bear_0260.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0261.jpg    brown bear_0261.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0262.jpg    brown bear_0262.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0263.jpg    brown bear_0263.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0264.jpg    brown bear_0264.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0265.jpg    brown bear_0265.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0266.jpg    brown bear_0266.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0267.jpg    brown bear_0267.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0268.jpg    brown bear_0268.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0269.jpg    brown bear_0269.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0270.jpg    brown bear_0270.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0271.jpg    brown bear_0271.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0272.jpg    brown bear_0272.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0273.jpg    brown bear_0273.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0274.jpg    brown bear_0274.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0275.jpg    brown bear_0275.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0276.jpg    brown bear_0276.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0277.jpg    brown bear_0277.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0278.jpg    brown bear_0278.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0279.jpg    brown bear_0279.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0280.jpg    brown bear_0280.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0281.jpg    brown bear_0281.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0282.jpg    brown bear_0282.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0283.jpg    brown bear_0283.jpg    brown bear
